cmod, load_min, load_max
0.0000200000, 19.73, 35.27
0.0000156000, 21.97, 38.22
0.0000512000, 25.04, 41.88
0.0000868000, 28.06, 45.65
0.0001224000, 31.03, 48.75
0.0001580000, 33.34, 51.46
0.0001936000, 35.66, 54.16
0.0002292000, 37.94, 56.77
0.0002648000, 40.21, 59.09
0.0003004000, 42.72, 61.41
0.0003359900, 45.85, 63.73
0.0003715900, 48.95, 66.37
0.0004071900, 51.64, 69.23
0.0004427900, 54.32, 72.09
0.0004783900, 57.01, 74.85
0.0005139900, 59.70, 77.29
0.0005495900, 62.39, 79.74
0.0005851900, 64.97, 82.28
0.0006207900, 67.42, 84.96
0.0006563900, 69.86, 87.63
0.0006919900, 72.31, 90.28
0.0007275900, 74.83, 92.38
0.0007631900, 77.65, 94.49
0.0007987900, 80.48, 96.60
0.0008343900, 83.30, 99.74
0.0008699900, 85.91, 103.35
0.0009055900, 87.98, 106.73
0.0009411900, 90.06, 109.27
0.0009767900, 92.13, 112.01
0.0010123800, 94.57, 115.13
0.0010479800, 97.22, 117.80
0.0010835800, 87.54, 120.32
0.0011191800, 91.12, 122.99
0.0011547800, 94.71, 126.04
0.0011903800, 97.44, 128.99
0.0012259800, 100.02, 131.97
0.0012615800, 102.60, 134.84
0.0012971800, 105.18, 137.17
0.0013327800, 107.96, 140.20
0.0013683800, 110.77, 143.41
0.0014039800, 113.59, 146.42
0.0014395800, 116.57, 149.27
0.0014751800, 119.55, 152.36
0.0015107800, 122.54, 155.74
0.0015463800, 125.52, 158.88
0.0015819800, 128.20, 161.24
0.0016175800, 130.84, 164.06
0.0016531800, 133.47, 166.69
0.0016887700, 136.10, 169.30
0.0017243700, 138.72, 172.02
0.0017599700, 141.35, 174.87
0.0017955700, 144.23, 177.71
0.0018311700, 147.21, 180.70
0.0018667700, 149.96, 182.85
0.0019023700, 152.45, 185.11
0.0019379700, 154.95, 189.08
0.0019735700, 158.08, 191.42
0.0020091700, 161.25, 193.95
0.0020447700, 163.89, 197.00
0.0020803700, 166.32, 199.58
0.0021159700, 168.74, 201.84
0.0021515700, 171.04, 204.90
0.0021871700, 173.17, 207.86
0.0022227700, 175.64, 208.79
0.0022583700, 178.10, 211.16
0.0022939700, 180.57, 213.78
0.0023295700, 182.71, 215.67
0.0023651600, 184.69, 219.08
0.0024007600, 186.53, 221.93
0.0024363600, 188.46, 223.92
0.0024719600, 190.75, 227.16
0.0025075600, 193.04, 229.81
0.0025431600, 194.86, 232.48
0.0025787600, 196.92, 234.86
0.0026143600, 199.84, 237.66
0.0026499600, 202.77, 240.54
0.0026855600, 204.94, 243.84
0.0027211600, 207.39, 246.21
0.0027567600, 210.46, 249.62
0.0027923600, 213.34, 252.34
0.0028279600, 216.12, 255.70
0.0028635600, 218.19, 257.90
0.0028991600, 219.89, 261.28
0.0029347600, 223.08, 263.45
0.0029703600, 224.91, 267.22
0.0030059600, 226.80, 269.16
0.0030415500, 228.98, 271.52
0.0030771500, 231.26, 274.15
0.0031127500, 233.56, 278.01
0.0031483500, 236.13, 279.30
0.0031839500, 238.79, 281.81
0.0032195500, 241.19, 284.56
0.0032551500, 243.63, 288.21
0.0032907500, 245.68, 290.81
0.0033263500, 247.70, 293.58
0.0033619500, 250.88, 296.38
0.0033975500, 254.06, 299.41
0.0034331500, 256.29, 302.61
0.0034687500, 258.51, 305.57
0.0035043500, 260.73, 307.92
0.0035399500, 263.70, 310.73
0.0035755500, 265.56, 314.39
0.0036111500, 268.47, 317.65
0.0036467500, 271.08, 319.04
0.0036823400, 273.17, 322.60
0.0037179400, 275.47, 325.95
0.0037535400, 277.82, 328.88
0.0037891400, 279.69, 331.02
0.0038247400, 282.68, 333.77
0.0038603400, 286.17, 337.17
0.0038959400, 288.49, 339.99
0.0039315400, 290.68, 343.56
0.0039671400, 293.49, 346.27
0.0040027400, 296.74, 349.31
0.0040383400, 299.80, 352.47
0.0040739400, 301.09, 355.83
0.0041095400, 303.23, 358.81
0.0041451400, 304.43, 361.48
0.0041807400, 307.46, 363.97
0.0042163400, 310.84, 367.82
0.0042519400, 312.89, 371.26
0.0042875400, 315.49, 374.50
0.0043231400, 318.15, 377.18
0.0043587300, 320.69, 379.31
0.0043943300, 323.33, 381.50
0.0044299300, 325.91, 384.99
0.0044655300, 328.29, 388.73
0.0045011300, 330.91, 391.08
0.0045367300, 333.35, 393.76
0.0045723300, 335.96, 395.68
0.0046079300, 337.59, 397.73
0.0046435300, 340.61, 400.82
0.0046791300, 343.44, 403.86
0.0047147300, 345.97, 406.05
0.0047503300, 348.21, 409.03
0.0047859300, 350.71, 410.71
0.0048215300, 353.26, 413.84
0.0048571300, 356.14, 417.41
0.0048927300, 357.70, 419.49
0.0049283300, 359.97, 421.07
0.0049639300, 362.25, 424.50
0.0049995300, 365.46, 426.98
0.0050351200, 369.01, 430.86
0.0050707200, 371.60, 433.03
0.0051063200, 374.69, 435.12
0.0051419200, 377.47, 438.27
0.0051775200, 378.57, 440.42
0.0052131200, 380.59, 443.40
0.0052487200, 383.48, 446.81
0.0052843200, 386.55, 449.02
