cmod, load_min, load_max
0.0000000000, 9.77, 18.86
0.0000025085, 9.77, 18.86
0.0000050170, 9.77, 18.86
0.0000075255, 9.77, 18.86
0.0000100340, 9.77, 18.86
0.0000125425, 9.77, 18.86
0.0000150510, 9.77, 18.86
0.0000175595, 9.77, 18.86
0.0000200680, 9.77, 18.86
0.0000225766, 9.77, 18.86
0.0000250851, 9.77, 18.86
0.0000275936, 9.77, 18.86
0.0000301021, 9.77, 18.86
0.0000326106, 9.77, 18.86
0.0000351191, 9.77, 18.86
0.0000376276, 9.77, 18.86
0.0000401361, 9.77, 18.86
0.0000426446, 9.77, 18.86
0.0000451531, 9.77, 18.86
0.0000476616, 9.77, 18.86
0.0000501701, 9.77, 18.86
0.0000526786, 9.77, 18.86
0.0000551871, 9.77, 18.86
0.0000576956, 9.77, 18.86
0.0000602041, 9.77, 18.86
0.0000627127, 9.77, 18.86
0.0000652212, 9.77, 18.86
0.0000677297, 9.77, 18.86
0.0000702382, 9.77, 18.86
0.0000727467, 9.77, 18.86
0.0000752552, 9.77, 18.86
0.0000777637, 9.77, 18.86
0.0000802722, 9.77, 18.86
0.0000827807, 9.77, 18.86
0.0000852892, 9.77, 18.86
0.0000877977, 9.77, 18.86
0.0000903062, 9.77, 18.86
0.0000928147, 9.77, 18.86
0.0000953232, 9.77, 18.86
0.0000978317, 9.77, 18.86
0.0001003402, 9.77, 18.86
0.0001028487, 9.77, 18.86
0.0001053573, 9.77, 18.86
0.0001078658, 9.77, 18.86
0.0001103743, 9.77, 18.86
0.0001128828, 9.77, 18.86
0.0001153913, 9.77, 18.86
0.0001178998, 9.77, 18.86
0.0001204083, 9.77, 18.86
0.0001229168, 9.77, 18.86
0.0001254253, 9.77, 18.86
0.0001279338, 9.77, 18.86
0.0001304423, 9.77, 18.86
0.0001329508, 9.77, 18.86
0.0001354593, 9.77, 18.86
0.0001379678, 9.77, 18.86
0.0001404763, 9.77, 18.86
0.0001429848, 9.77, 18.86
0.0001454934, 9.77, 18.86
0.0001480019, 9.77, 18.86
0.0001505104, 9.77, 18.86
0.0001530189, 9.77, 18.86
0.0001555274, 9.77, 18.86
0.0001580359, 9.77, 18.86
0.0001605444, 9.77, 18.86
0.0001630529, 9.77, 18.86
0.0001655614, 9.77, 18.86
0.0001680699, 9.77, 18.86
0.0001705784, 9.77, 18.86
0.0001730869, 9.77, 18.86
0.0001755954, 9.77, 18.86
0.0001781039, 9.77, 18.86
0.0001806124, 9.77, 18.86
0.0001831209, 9.77, 18.86
